Epoch,Time,Epoch Loss,Accuracy,Sample Name
51,48070.991681,183117.70155262566,0.43773944099623185,Les
52,48601.593458,183096.13360778888,0.4415311637127416,Ryan
53,49133.213705,182997.88449795192,0.4440878232207616,Walrer
54,49664.546056,183101.60977076288,0.44193236258938473,Jlos
55,50195.277948,183033.3533731587,0.44507115380076934,Bril
56,50727.620921,182979.33394074638,0.44087823220761646,Joe
57,51260.221876,182917.51238270925,0.44691981529118385,Dan
58,51793.042817,182970.84614904076,0.441578363580582,Garrell
59,52322.82904,182928.70511732032,0.44398555684044083,Chuibia
60,52854.097267,182631.51673666606,0.44367089105483837,Gene
61,53387.686894,182923.23827943337,0.44634555023245936,Tom
62,53919.174992,182877.669166246,0.4400129012972097,Parlel
63,54452.336555,183006.02706060238,0.4443316892046036,Chris
64,54982.459082,182939.66046916487,0.43871490493159954,Eddil
65,55516.320714,182703.44645072176,0.443489958228117,Dustin
66,56049.365587,182909.53842583112,0.44385969052619983,Len
67,56581.732998,182638.7660824354,0.4480604787639928,Myandy
